,PROTEIN_SECRETION,COAGULATION,E2F_TARGETS,COMPLEMENT,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_UP,IL6_JAK_STAT3_SIGNALING,MYC_TARGETS_V2,G2M_CHECKPOINT,XENOBIOTIC_METABOLISM,ESTROGEN_RESPONSE_EARLY,HEME_METABOLISM,WNT_BETA_CATENIN_SIGNALING,APOPTOSIS,KRAS_SIGNALING_UP,APICAL_SURFACE,NOTCH_SIGNALING,TNFA_SIGNALING_VIA_NFKB,GLYCOLYSIS,APICAL_JUNCTION,IL2_STAT5_SIGNALING,P53_PATHWAY,PANCREAS_BETA_CELLS,BILE_ACID_METABOLISM,INTERFERON_ALPHA_RESPONSE,HEDGEHOG_SIGNALING,ALLOGRAFT_REJECTION,MITOTIC_SPINDLE,TGF_BETA_SIGNALING,UV_RESPONSE_DN,KRAS_SIGNALING_DN,PEROXISOME,FATTY_ACID_METABOLISM,EPITHELIAL_MESENCHYMAL_TRANSITION,SPERMATOGENESIS,MTORC1_SIGNALING,CHOLESTEROL_HOMEOSTASIS,OXIDATIVE_PHOSPHORYLATION,MYOGENESIS,INTERFERON_GAMMA_RESPONSE,HYPOXIA,ANDROGEN_RESPONSE,ADIPOGENESIS,DNA_REPAIR,INFLAMMATORY_RESPONSE,MYC_TARGETS_V1,PI3K_AKT_MTOR_SIGNALING,ESTROGEN_RESPONSE_LATE,ANGIOGENESIS,REACTIVE_OXYGEN_SPECIES_PATHWAY,COSMIC
downregulated.wound,1.9073945615982242,1.8531331364870618,1.887514920528553,1.8439606111412852,1.8972191957967193,1.8869258807760654,1.769910455480965,1.9159822419533852,1.8810360394035412,1.8983138001608815,1.9083377605714555,1.9258612434985092,1.8411764705882352,1.8024910593168084,1.8735890938789186,1.890146750524109,1.8761506822484821,1.8138278896464246,1.8952854316459973,1.8670871650547012,1.8644378363663017,1.8834249208196854,1.8784431439814349,1.9179663921179197,1.879404068472176,1.871793245600127,1.8196141982664116,1.9074528562421513,1.8367727007656276,1.8597752877320481,1.925496827424455,1.8965694682675815,1.9038611342814402,1.8314947476989651,1.9233011833487048,1.8727051243875368,1.8809618941916388,1.9296152423233444,1.8719445167251698,1.8526420604371816,1.8660729270999703,1.8921946136945345,1.9051664816870144,1.9332677179095206,1.8375556211752486,1.8952596662330945,1.8126506946304872,1.8972158817247085,1.8114132445431002,1.8726216901855082,1.8762060463121784
upregulated.stress,1.9379401408450705,1.9178927193808937,1.8995844708042422,1.912708747650312,1.9216248282019053,1.911084989819693,1.8932660393073357,1.9241997439180538,1.8958887569410812,1.9037284591619776,1.931610342797847,1.9390047952599734,1.872855313700384,1.8743206715037701,1.9299821225811127,1.9282401479584579,1.8981697672667017,1.8955322846167917,1.9197609901835253,1.9184253246753247,1.926146933056314,1.9187408263327193,1.895588406471889,1.8971516499314869,1.950989280073273,1.907810499359795,1.9200765103728898,1.9341400515770681,1.8909915579765186,1.897269043902268,1.945576546759114,1.8880223489698522,1.8902824058978376,1.9094077781657808,1.934392526735316,1.8981043690078385,1.8997865983781477,1.9280459943260275,1.9164241648236526,1.936320047947258,1.9025264670060273,1.9141080247720086,1.9124839948783612,1.9394825211992366,1.9246261555991495,1.9113388682568466,1.8677645812177137,1.924123644094412,1.8975672215108834,1.8896561185293579,1.9058153154463975
downregulated.regen,1.9276047591960561,1.873748756806262,1.8823276879816258,1.87852734006245,1.918527100228575,1.9076633282978048,1.8429040060969548,1.928138035646568,1.8799330374247702,1.9199830917118077,1.922332033924807,1.9407414843070334,1.8537201365187714,1.840538490709139,1.9039216948934252,1.9145746429022878,1.8839590443686007,1.8647052250934504,1.9137579484812013,1.881074272712498,1.9013887994504906,1.9060129304364717,1.9000413693246458,1.9367702532782467,1.9254295275819404,1.8810011376564277,1.8826887776823915,1.910007637787285,1.854842752742909,1.8720915735502672,1.9350194260201343,1.917923259902782,1.9297408828496527,1.8308281908964503,1.9327420724574982,1.8995310635700213,1.908653773227152,1.9492237167904705,1.8774379324047008,1.9059860092464842,1.8892089125669413,1.9098349237305843,1.9264505119453925,1.9385450876854058,1.8889062842471116,1.9124056028292125,1.8504472166647052,1.9127546311202697,1.830647200101125,1.9053104176824314,1.8938553624987071
msigdb.wound,1.8887742718446603,1.796385174329853,1.9060908591317092,1.807271224953522,1.902787921973813,1.8715581728473658,1.730323310396833,1.9358899676375405,1.8842698324865437,1.8881802796829072,1.886108682648507,1.9137921187892633,1.770135922330097,1.7675188781014024,1.850247298039934,1.8551024811218986,1.8148486579097658,1.7893117198335644,1.8923690258430654,1.8211858529819696,1.8425902179886426,1.8662372720814586,1.8388349514563107,1.9167603474706183,1.8991850329530153,1.8115395284327322,1.8102209780213234,1.8837230502757647,1.7742636169162416,1.804415480782019,1.9014654698662758,1.8951279788172992,1.9173129108122777,1.7818181818181817,1.9178996307944756,1.883334122661615,1.8748996763754044,1.9476965543498952,1.8431922701723418,1.8594298698615987,1.8478427658062988,1.8779274816722806,1.9041844660194174,1.943335165170666,1.807909503874588,1.914791547687036,1.7566119852695012,1.8776882212859498,1.740722761596548,1.8718446601941747,1.8393755516328332
msigdb.regen,1.900776836158192,1.817503464449419,1.848710158831681,1.8213246784469288,1.8667392318457472,1.8500818128492482,1.7626570127804289,1.8838983050847458,1.827756798688563,1.8718706266521536,1.8745280745441402,1.9022377312506924,1.7061016949152543,1.7509416195856873,1.8476974736168852,1.8462021343377275,1.772349617813227,1.7898254640839386,1.8659624989765005,1.8204701372074255,1.8456454535763778,1.8458040512608516,1.8038007190549563,1.895034195658638,1.8998721596766877,1.7723970944309928,1.835101036359225,1.8803214768839023,1.7397299626544096,1.7921987462270723,1.8921223750133247,1.8670775552131484,1.8886198547215496,1.7768932260457684,1.8950425718150712,1.8515364475678655,1.8521280602636534,1.9200454192976626,1.8265077176763171,1.8721200464799455,1.8253823894171146,1.858065260002306,1.8835310734463278,1.9147212450698219,1.83745399885969,1.856993123194519,1.7400155854276251,1.8640869843300287,1.7445072190834903,1.8510895883777239,1.808712121212121
upregulated.regen,1.9225297281993206,1.8805245126320362,1.8863383832987883,1.876990915881545,1.9072802269161637,1.9023200836690617,1.839382511077637,1.9175726689316723,1.8863565682230268,1.910163433665465,1.9216855506593742,1.9358692514378344,1.8679728199320498,1.840065433496917,1.9046347144169746,1.9145337863344658,1.895076943574712,1.8598527746319367,1.907966364118809,1.885131855686782,1.899383533836193,1.9035604784133913,1.895423659013693,1.9260396177306234,1.919865091633532,1.8911502993043197,1.8759666224318936,1.9127547466755992,1.867439583853197,1.8795203152391442,1.936793521229086,1.9067126531452692,1.9095967305135655,1.8613999565301944,1.9298885042987255,1.8840593320995498,1.8954775386938467,1.9298736482135324,1.8783887031487914,1.899295599302828,1.8841532469684832,1.9045230776342248,1.915062287655719,1.9373562113150566,1.8865263332883102,1.8990227679189107,1.8431678837817784,1.9111946836470866,1.853655467472002,1.8901067788383756,1.8975969705549265
upregulated.wound,1.9170378619153674,1.88264627193904,1.9038008992730175,1.8767663365398284,1.9048752579636705,1.8952194920101744,1.8316755681449608,1.9206941351150706,1.8936381365613857,1.9018665331725955,1.9140269582748393,1.930193458229617,1.8429844097995545,1.8328012868101955,1.8985323780308443,1.9060133630289533,1.8759661993973535,1.8483236557429208,1.898362437192688,1.8824172764874323,1.8933531537588772,1.8965506002498778,1.8738611054869407,1.9100926034462549,1.915513793832198,1.8778555520203628,1.8748548239441432,1.918164517916706,1.8472311351024877,1.8698935228971534,1.9300121864100517,1.8907774853209152,1.8910830140131971,1.855700659152775,1.9255309137676841,1.8768319843554784,1.88279138827023,1.9141010524477051,1.8737119169659318,1.8975540602441991,1.8728067792927372,1.8944707058770056,1.8992650334075725,1.9363575240576543,1.8813418197421385,1.8968648278225115,1.8309557637662237,1.9053452115812917,1.8452425142291513,1.8813434616608335,1.8876338201052845
msigdb.stress,1.903325055187638,1.883514515390062,1.8443739847557166,1.8574834437086092,1.866291998298803,1.8727861614736003,1.7989841188195204,1.889746136865342,1.8316508252410528,1.9052737104319826,1.9036470920561188,1.9169490975198027,1.7931258278145696,1.7891464311994114,1.8897382231663127,1.8930684326710816,1.836092715231788,1.8200833727530747,1.8967687238058675,1.8695127719962157,1.8760902161689366,1.8695073493781296,1.8652167369054786,1.9203439061229233,1.8933774834437087,1.8544370860927153,1.8555824157965304,1.889764636383422,1.8085419238971827,1.8460400979769573,1.9244502061726851,1.8891029500301024,1.906322240960882,1.8623085156197738,1.9017582315082548,1.8569471813923437,1.8896423841059602,1.9150597325022725,1.8797363668050318,1.875661077450566,1.8655015344855435,1.8827003649141776,1.9017980132450332,1.9032779374401265,1.8636429916762864,1.842998411794672,1.766630509248687,1.8942615269274021,1.8443708609271523,1.8560666982024598,1.8461224413004214
downregulated.stress,1.9335266323024054,1.9246579783440316,1.9193675841276017,1.915973897784602,1.902546580913648,1.9115049856346122,1.9048018216394755,1.8965635738831614,1.9189947118209498,1.9005958573725528,1.9340279474275663,1.937961138063473,1.8989948453608247,1.883884593356243,1.9380106010503793,1.9356815578465063,1.9178668890236508,1.908090942562592,1.9130310274416056,1.9250103553019147,1.9311661155417235,1.9235856172994719,1.8982544517338331,1.8952229155362634,1.9464971028670328,1.919440353460972,1.9218542470431978,1.9448538308891148,1.907150969771099,1.9087169891258298,1.950076590157557,1.886305060918463,1.8776733687648075,1.9214958867020722,1.9309478002032816,1.884630374654262,1.8968556701030928,1.9035021224984838,1.91840132195531,1.9374908605688381,1.9023070153381947,1.9139359351988219,1.9037628865979381,1.937058289567529,1.9327887070840821,1.8875542286700564,1.8747333807323143,1.925683232834079,1.9150916380297824,1.8793492268041236,1.9228176985707592
